index,tweet_id,timestamp,rating_numerator,rating_denominator,name,dog_stage,dog_stage,tweet_id,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,tweet_id,full_text,retweet_count,favorite_count,possibly_sensitive
0,8.92421e+17,2017-08-01 16:23:56+00:00,13,10,Phineas,doggo,doggo,6.660208880227901e+17,1.0,welsh_springer_spaniel,0.465074,True,collie,0.156665,True,shetland_sheepdog,0.0614285,True,8.924206435553362e+17,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,8853.0,39467.0,False
1,8.92177e+17,2017-08-01 00:17:27+00:00,13,10,Tilly,doggo,doggo,6.660292850026209e+17,1.0,redbone,0.506826,True,miniature_pinscher,0.0741916999999999,True,rhodesian_ridgeback,0.07201,True,8.921774213063434e+17,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",6514.0,33819.0,False
2,8.91815e+17,2017-07-31 00:18:03+00:00,12,10,Archie,doggo,doggo,6.660334127010324e+17,1.0,german_shepherd,0.596461,True,malinois,0.1385839999999999,True,bloodhound,0.116197,True,8.918151813780849e+17,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,4328.0,25461.0,False
3,8.9169e+17,2017-07-30 15:58:51+00:00,13,10,Darla,doggo,doggo,6.660442263298007e+17,1.0,rhodesian_ridgeback,0.408143,True,redbone,0.360687,True,miniature_pinscher,0.222752,True,8.916895572798587e+17,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,8964.0,42908.0,False
4,8.91328e+17,2017-07-29 16:00:24+00:00,12,10,Franklin,doggo,doggo,6.660492481658225e+17,1.0,miniature_pinscher,0.560311,True,rottweiler,0.243682,True,doberman,0.154629,True,8.913275589266883e+17,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",9774.0,41048.0,False
5,8.91088e+17,2017-07-29 00:08:17+00:00,13,10,Text,doggo,doggo,6.660507587946947e+17,1.0,bernese_mountain_dog,0.651137,True,english_springer,0.263788,True,greater_swiss_mountain_dog,0.0161992,True,8.910879508758979e+17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,3261.0,20562.0,False
6,8.90972e+17,2017-07-28 16:27:12+00:00,13,10,Jax,doggo,doggo,6.660518538268508e+17,1.0,box_turtle,0.933012,False,mud_turtle,0.0458854,False,terrapin,0.0178852999999999,False,8.909719131739914e+17,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",2158.0,12041.0,False
7,8.90729e+17,2017-07-28 00:22:40+00:00,13,10,Text,doggo,doggo,6.660555250424054e+17,1.0,chow,0.692517,True,tibetan_mastiff,0.0582793999999999,True,fur_coat,0.0544486,False,8.907291814112379e+17,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,16716.0,56848.0,False
8,8.90609e+17,2017-07-27 16:25:51+00:00,13,10,Zoey,doggo,doggo,6.66057090499244e+17,1.0,shopping_cart,0.962465,False,shopping_basket,0.0145937999999999,False,golden_retriever,0.00795896,True,8.906091851503124e+17,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,4429.0,28226.0,False
9,8.9024e+17,2017-07-26 15:59:51+00:00,14,10,Cassie,doggo,doggo,6.660586005241569e+17,1.0,miniature_poodle,0.201493,True,komondor,0.192305,True,soft-coated_wheaten_terrier,0.0820861,True,8.902402553491988e+17,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,7711.0,32467.0,False
